228	80241	/discussions/amazon/view/80241-exam-aws-certified-database-specialty-topic-1-question-228/
176	67082	/discussions/amazon/view/67082-exam-aws-certified-database-specialty-topic-1-question-176/
148	65860	/discussions/amazon/view/65860-exam-aws-certified-database-specialty-topic-1-question-148/
151	65971	/discussions/amazon/view/65971-exam-aws-certified-database-specialty-topic-1-question-151/
134	49017	/discussions/amazon/view/49017-exam-aws-certified-database-specialty-topic-1-question-134/
120	49003	/discussions/amazon/view/49003-exam-aws-certified-database-specialty-topic-1-question-120/
21	26014	/discussions/amazon/view/26014-exam-aws-certified-database-specialty-topic-1-question-21/
20	65817	/discussions/amazon/view/65817-exam-aws-certified-database-specialty-topic-1-question-20/
14	66148	/discussions/amazon/view/66148-exam-aws-certified-database-specialty-topic-1-question-14/
11	25052	/discussions/amazon/view/25052-exam-aws-certified-database-specialty-topic-1-question-11/
8	67043	/discussions/amazon/view/67043-exam-aws-certified-database-specialty-topic-1-question-8/
256	81143	/discussions/amazon/view/81143-exam-aws-certified-database-specialty-topic-1-question-256/
218	80220	/discussions/amazon/view/80220-exam-aws-certified-database-specialty-topic-1-question-218/
44	67555	/discussions/amazon/view/67555-exam-aws-certified-database-specialty-topic-1-question-44/
149	65970	/discussions/amazon/view/65970-exam-aws-certified-database-specialty-topic-1-question-149/
112	48815	/discussions/amazon/view/48815-exam-aws-certified-database-specialty-topic-1-question-112/
43	25820	/discussions/amazon/view/25820-exam-aws-certified-database-specialty-topic-1-question-43/
147	64692	/discussions/amazon/view/64692-exam-aws-certified-database-specialty-topic-1-question-147/
63	65905	/discussions/amazon/view/65905-exam-aws-certified-database-specialty-topic-1-question-63/
71	25623	/discussions/amazon/view/25623-exam-aws-certified-database-specialty-topic-1-question-71/
183	65834	/discussions/amazon/view/65834-exam-aws-certified-database-specialty-topic-1-question-183/
57	26760	/discussions/amazon/view/26760-exam-aws-certified-database-specialty-topic-1-question-57/
54	25201	/discussions/amazon/view/25201-exam-aws-certified-database-specialty-topic-1-question-54/
51	26423	/discussions/amazon/view/26423-exam-aws-certified-database-specialty-topic-1-question-51/
30	26016	/discussions/amazon/view/26016-exam-aws-certified-database-specialty-topic-1-question-30/
24	25814	/discussions/amazon/view/25814-exam-aws-certified-database-specialty-topic-1-question-24/
18	26011	/discussions/amazon/view/26011-exam-aws-certified-database-specialty-topic-1-question-18/
158	66993	/discussions/amazon/view/66993-exam-aws-certified-database-specialty-topic-1-question-158/
88	48781	/discussions/amazon/view/48781-exam-aws-certified-database-specialty-topic-1-question-88/
247	80879	/discussions/amazon/view/80879-exam-aws-certified-database-specialty-topic-1-question-247/
128	48824	/discussions/amazon/view/48824-exam-aws-certified-database-specialty-topic-1-question-128/
123	49014	/discussions/amazon/view/49014-exam-aws-certified-database-specialty-topic-1-question-123/
37	26355	/discussions/amazon/view/26355-exam-aws-certified-database-specialty-topic-1-question-37/
219	80221	/discussions/amazon/view/80221-exam-aws-certified-database-specialty-topic-1-question-219/
109	49002	/discussions/amazon/view/49002-exam-aws-certified-database-specialty-topic-1-question-109/
97	48688	/discussions/amazon/view/48688-exam-aws-certified-database-specialty-topic-1-question-97/
131	49008	/discussions/amazon/view/49008-exam-aws-certified-database-specialty-topic-1-question-131/
156	66370	/discussions/amazon/view/66370-exam-aws-certified-database-specialty-topic-1-question-156/
155	65689	/discussions/amazon/view/65689-exam-aws-certified-database-specialty-topic-1-question-155/
145	48838	/discussions/amazon/view/48838-exam-aws-certified-database-specialty-topic-1-question-145/
95	48686	/discussions/amazon/view/48686-exam-aws-certified-database-specialty-topic-1-question-95/
61	67116	/discussions/amazon/view/67116-exam-aws-certified-database-specialty-topic-1-question-61/
45	26361	/discussions/amazon/view/26361-exam-aws-certified-database-specialty-topic-1-question-45/
81	26312	/discussions/amazon/view/26312-exam-aws-certified-database-specialty-topic-1-question-81/
77	27045	/discussions/amazon/view/27045-exam-aws-certified-database-specialty-topic-1-question-77/
143	48840	/discussions/amazon/view/48840-exam-aws-certified-database-specialty-topic-1-question-143/
52	67549	/discussions/amazon/view/67549-exam-aws-certified-database-specialty-topic-1-question-52/
41	25680	/discussions/amazon/view/25680-exam-aws-certified-database-specialty-topic-1-question-41/
17	26261	/discussions/amazon/view/26261-exam-aws-certified-database-specialty-topic-1-question-17/
302	103989	/discussions/amazon/view/103989-exam-aws-certified-database-specialty-topic-1-question-302/
305	103654	/discussions/amazon/view/103654-exam-aws-certified-database-specialty-topic-1-question-305/
